identifier,att_GoodForKids,att_RestaurantsGoodForGroups,att_OutdoorSeating,att_RestaurantsReservations,att_HasAlcohol,att_RestaurantsTableService,meal_dinner,meal_lunch,amb_target
H-pODaiI0_gvJ6hakT0_2A|First Watch,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0
c3PcM_DB9Z471jaleGW8Ig|Pulp Juice And Smoothie Bar,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0
HaKhksuFqOkKNY2_AZvPuQ|Chipotle Mexican Grill,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0
sR8Q3kXeNb4so1yc3EBllg|Giuseppe's Ritrovo,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0
3daMYz7sP4-sokC46h8Nqw|Buca di Beppo Italian Restaurant,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0
YmwVfCuwD3cW7vh57BaH-Q|M I A Hookah Cafe,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,
nCz-NLygotPGZSUJNRDlhw|Rebol,,1.0,,0.0,,0.0,0.0,0.0,0.0
QTry-b9ZdwM_tdyqlXXT3Q|The Rack,0.0,1.0,1.0,0.0,1.0,,,,1.0
s2jzN0RU6GJ_-VZjcwW8dQ|Russian Club,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NWjoZB068Mg18lYTI3AS2A|Ziggy's,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
W8oGeE-f6gP1mpa8PaeacQ|Jimmy John's,1.0,0.0,,0.0,0.0,,,,
gTYOsJcseqHnM-5zyp9RgQ|Uptown Deli and Brew,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0
C6L1mHMwYH5iCaqSa3UBqA|Wendy's,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0
vMteB_2TSNwaltxnUJVqGQ|Hunan King,1.0,1.0,0.0,1.0,0.0,,,,0.0
pWbZzz3rh71NFA792W8aFg|Barrel & Boar - Westerville,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
l3x_3hVFfKjigqP8u-Rvrw|Jay’ Crab Boil & Oyster Bar,1.0,,1.0,1.0,,,,,
yWEd9qjOoji7qVWfTIcPEQ|Noodles & Company,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
SrfGTXkBIt-KOXBAiOB-lg|El Vaquero Mexican Restaurant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
pswfuYiHJPj5S1QvqNpqfA|Dough Mama,,,1.0,,0.0,,,,
2jjyXhxkyN1Unbrdf6AfzQ|Parable Coffee,,,1.0,0.0,0.0,0.0,,,
q5FiKaXZMvbuHURMzVRrgQ|Smokey Bones Bar & Fire Grill,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
V-kNDhctcHi9k9UjF7vKyw|The Chop Shop,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
LE37uwwKy0fV3a3sOfv-7Q|Dairy Queen Grill & Chill,,1.0,1.0,0.0,,,0.0,0.0,
1y-stHS9cnf90Pn9aJgZtg|Penn Station East Coast Subs,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
xFafvdWH3qeZMLS-K-YN5Q|Donatos Pizza,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
er1KGV4JfcpWwuxpMlrSdw|The Hansom Hog,1.0,1.0,,0.0,,,,,
5c7hIIQo95j1z-nheNPHfw|Starbucks,0.0,0.0,0.0,0.0,0.0,,,,0.0
dHeiNO8KBXJauAAMbYx4og|Rally's,1.0,0.0,1.0,0.0,0.0,,,,
FdFnxz0rzyYLN1Pb_9Na6g|Pita Hut Grille,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ZqwrRkIZj8ZF_cQWixwwNA|The Avenue Steak Tavern,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
eb4NLj2AM8s1JhOx9kn1KQ|The Ridge Golf and Gardens,0.0,,1.0,0.0,1.0,0.0,,,
acaHnArsLgDMeeCgvp7cVQ|Arepazo Tapas & Wine,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0
WeJhxB1Bi4J_KkXqlWEVgw|Brown Bag Deli,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
wC3VH3DK4urHx9DCR4ngsw|Taqueria Little Mexico,1.0,,,,,,,,
kmmukSPrYuk_OK0xmr2Dsw|New China Express,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0
saph56bjepp0k7aiztLICQ|Renie's Lounge,,,1.0,0.0,1.0,,,,3.0
KpdYtK2KtLxEzYNW38XKZQ|Chipotle Mexican Grill,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0
gB2x0t7s1_uCWZwLugUMyA|Tostadalicious,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,
Pw0GW5oCCCzu9uGRC6VcAQ|The Roost,1.0,,,,,,,,
BET1YNpqKqsuuenK-B5cog|Sweetwaters Coffee & Tea - Pointe at Polaris,,,1.0,,,,,,
C2WoNrldNAf68ACOgap_6Q|Oodles Noodles & Dumpling Bar,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0
otlogoNvNwTnaP1JpFsKTg|Warios Beef and Pork,,,1.0,0.0,0.0,,,,
PTRLUUIlEaDOeU2_znkvjQ|Scramblers,,1.0,,,,,0.0,0.0,0.0
tvNpWAzwEVvDe88uAnNCgg|Alphabetical,0.0,1.0,,0.0,,,0.0,0.0,0.0
aKLaNeoteS7aofO9id53Wg|Roosters,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
C2A2Vhcx9iuyHR9MXz44VQ|Joseppi's Pizza- Grove City,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0
_DmN7Nt9WzNLRm_dZYwlRw|Marc's Stores,,,,,1.0,,,,
pvZzd7T0nlpzCjBO-AHplg|Dairy Queen,1.0,0.0,1.0,0.0,,,,,0.0
9qKLVk9dB77vI5JSqk1e8Q|Wendy's,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
hKa__ZhGPo5NmTq1zp4qEQ|China Dynasty Chinese Restaurant,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,2.0
sG4TJuNxoXUImqexGn2f4A|Subway,1.0,,,,,,,,
tN5tGj5mSYhr0Fk1zY2z_w|Fusion Steakhouse,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
_x7IEW8Qx0O4XiEl_03Mzg|McDonald's,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
xQzXaKGxECtExC5eaJHaoQ|Tempe Taco,,,1.0,0.0,1.0,1.0,1.0,,2.0
Kyet1R5mFfjAgPNLbgZmWQ|Buffalo Wild Wings,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
QwDLemZR7jEOiBT3mrPAag|Arby's,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
4cNxeCSjPi9zP-UJvK1IfQ|Dan's Deli No 44,,1.0,,0.0,,,0.0,0.0,0.0
YnuDFW0CPxetugr9Fm0HMw|Claudiana Italian Restaurant,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,2.0
tldR-UGG-b0jU0SzCJD8MQ|Intercontinental Restaurant,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0
DvZT1s_FEwDid-6-WDGUzQ|Fado Pub & Kitchen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Mbu5-db7S3_Fy9FOFqCf5g|Chick-fil-A,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
LGbgmsRy_a1peMOkxHQylQ|Yau's Chinese Bistro,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
9vFxnfFEgYjrMm3PY7BIZw|Hamilton's Pub,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0
Sp80d8B0vlntrW6Z8tL5ng|Josie's Pizza,1.0,1.0,0.0,0.0,0.0,,,,0.0
ZKYer-Vp839adgU85ENs2g|AMF Sawmill Lanes,1.0,1.0,0.0,,1.0,,,,
qh9GPo8OJa4kxJyZEQkWIQ|Wolf's Ridge Brewing,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
zcpLu23eKPbZFWw6yfAQkA|Mellow Mushroom - Dublin,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5w-xPTjLVqDjHvqhdTEt3Q|KFC,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
C7r3kqc4ZMWUWxSh6lix0w|Reunion Asian Kitchen,,,,,,,0.0,0.0,
DPiSO_JKl7egO8m47fk-8g|Chuy's,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0
mrAJXBjxDvd-QiCVycNwOg|Joseppi's Pizza - Hilltop,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
RseM4TyjTimbEYl6rOgaYA|Rosie O' Grady's Nightclub,0.0,1.0,1.0,0.0,1.0,,,,2.0
vSnRigeSKbSQnFzu5EfecQ|Starbucks,,,1.0,0.0,0.0,,,,
xvxLbAzAjsLGjGaCcD8ICw|Las Maravillas Mexican Market,1.0,1.0,0.0,0.0,0.0,,,,
iPjqdlOkFm6x1KTDm2cp7Q|Taqueria Las Delicias & Neveria,1.0,1.0,1.0,0.0,0.0,,,,0.0
mbNS4vNDeAKxllEMwz15kA|Tim Hortons,1.0,0.0,0.0,0.0,,,,,
P-OoLugmzJKexE_xZUibuA|Asian Express,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
NKVvm_HCtOFO6vsUxFYYww|Scramblers,1.0,1.0,1.0,0.0,0.0,,0.0,,1.0
oEkXb5vDClEfk9R6YN4kkg|Tee Jaye's Country Place,1.0,1.0,0.0,0.0,0.0,1.0,,,
nQkhcY0jL0LQlVkpLMsPTQ|New Chopsticks,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0
-mkYw8bj6B9CDqkm6iTsSg|District 13,,,1.0,,,,,,
vWH1PWT33K1LEkYx170NkQ|El Portal,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
SRIhCTfwxFairf2cCC0h-g|The Melting Pot,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,
xFBGuUBWkC5E1OYzDJZnyA|Joseppi's Pizza,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0
cdI40n3GW1Yvis2yQu_hDA|Funny Greek,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
RAX-7UyZUWlWkRVdisVFvg|Stauf’s Coffee,,,1.0,,,,,,
IGNPPJNPCnhnsXLqaPr5ng|Popeyes Louisiana Kitchen,1.0,0.0,0.0,0.0,0.0,,,,0.0
F6-F6Hl1O40QRLuEVOzLqA|Dragon One,1.0,0.0,0.0,0.0,0.0,,,,0.0
C5Mxk_4MTvdvh_DFuq5yng|Massey's Pizza,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
qZDUXYIN0TpUwnS1reOOAg|Massey's Pizza Delaware,,,0.0,,,,,,
bfp3NUfwPygFKpPPGgpCcg|Taco Bell,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0
CaaHMiaLDCGaRZf0YwgAjA|Rally's,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,2.0
_18kH8he85v3SbbT1k0f4w|Blend of Seven Winery,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
lxLWwLY-9NqhiQdy0TuITA|Tequila Cowboy,0.0,1.0,1.0,0.0,1.0,,,,1.0
WXROkiRaS0Kj3aPYdF5iOw|Xi Xia Western Chinese Cuisine,1.0,1.0,,1.0,0.0,1.0,1.0,,3.0
H4uQ-kebCKpnIcEF_qdJbg|African Paradise Restaurant,,,,,,,,,0.0
li8HCfNQKcdqwXvcBlrVVQ|Arby's,1.0,1.0,0.0,0.0,0.0,,,,0.0
FQFyZzystG54e0wl6SEOwA|Wendy's,1.0,1.0,,0.0,,,,,0.0
q3JJjCh-5iEtqtCEc6Hi9g|Burger King,1.0,,,0.0,,,0.0,0.0,0.0
VDRxcURnCB9zGNcxjuPv6Q|Alqueria Farmhouse Kitchen,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0
0boKOhTTM3paeyo3ncl2ZQ|George's Beechwold Diner,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
j5Hlhmt-5ZdpSZeZLFKzcw|Baskin-Robbins,1.0,1.0,,0.0,,,,,0.0
vOVYEqJGJWW7xEmDF-xKMw|Donatos Pizza,1.0,0.0,0.0,0.0,0.0,,,,0.0
VSAbz7-8JNjodO9QKrwvwg|Island Noodles,1.0,1.0,,,,,0.0,0.0,
ZRhYwKCaDZqnngd-KJlixw|The Torpedo Room,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
qOZfxSqNHpe7N7_3YLIXDQ|Tim Hortons,1.0,,1.0,0.0,0.0,,,,0.0
k1Uvt7tOpxWqOMENQk2kbw|OD on BBQ,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0
i4qp1xobtYWN6HHPjIi4ZA|McDonald's,1.0,1.0,,0.0,,,0.0,0.0,0.0
FZT03u1O8E2U36-rTUZJwA|Buffalo Wild Wings,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0
gLpl15CqEZOL7xARMjqMGQ|The Woodbury,,1.0,,1.0,1.0,1.0,1.0,,3.0
zUAjpqZUTGl6ledOjbaO2w|Wendy's,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
7y_Z7zONQQGl72JeMgvh1A|Renaldi's Pizzeria,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pPv0aTxwwuPLtH-xRseK7A|McDonald's,1.0,1.0,1.0,0.0,0.0,,,,0.0
IMY8QocXtwYQqqt2Y15JmQ|NAPA Kitchen + Bar,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
1JyiHoH2BaHTY_3jzKIpjQ|La Michoacana Mexican market,1.0,1.0,0.0,0.0,1.0,,,,0.0
L03GcUHC00Wdzpfv_5dCsQ|Bob Evans,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Q3-e1fc4vyuNx6PzctQLDA|La Chatelaine French Bakery & Bistro,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0
TMEl84HOa9KC3TBO-PCk2w|Domino's Pizza,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
o--BmOO8fQI7qqCVOZS2IA|Thurn's Specialty Meats,1.0,1.0,0.0,0.0,0.0,,,,0.0
hmgtJKxgmZyIAbjXzHz-9g|Brewcadia,0.0,1.0,0.0,0.0,1.0,,,,1.0
l1CR7rk52sy9gHz8usKzlw|Jimmy John's,1.0,1.0,0.0,0.0,0.0,0.0,,,
jpZb807d_l2MAwZ5Y4VivQ|Luck Bros Coffee House,,,1.0,,0.0,,,,
_dx-TZFpEiHBHVuB8m1_gg|Chipotle Mexican Grill,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0.0
dFZketL3TUeMKPvX3BIqHg|Asian Garden Buffet,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GA-mOOTIqM-7ZjpONjNEgw|New China Express,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
mio0s-96IjAlM6fIyxZn-A|Alchemy Kitchen,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
QTkUap-MMCUhjEDiitApHQ|Timmy's Meltdown,,,,,0.0,,0.0,0.0,
ObuUCp6i4VS-aoegXIQu-Q|Wendy's,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
9r110uTIVEoWB46iYFbexw|Woodlands Tavern,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
9P8bSxVy2STeOlZQ-JVuDA|McDonald's,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wYTiSnV8GJblZPwC2S_Clw|Fairweathers Cafe,,1.0,1.0,0.0,1.0,,,,1.0
9QmUfymDgiTNy1BWbpAeYA|The Blarney Stone Tavern,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
NBuqYt9eS8vr7RaxLxBtAw|Paul's Fifth Avenue Restaurant & Catering,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,1.0
FFLYXZVvq-s8NJke87eFkA|Tim Hortons,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0
9q50aCvlYfkqkD3gg4tO_g|Jimmy John's,1.0,1.0,1.0,0.0,0.0,,,,
0Ppzv44wYSdjip2CqzAysg|Chili's,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,
lJOOqvP_xZzkf_tmBiwaHw|The Stadium Columbus,,,1.0,,,,,,
ejdii3t9irq1jzXHnDlKVA|Carsonie's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mj9C84dGn_kh4q9G2xdhQQ|Gemüt Biergarten,,1.0,,,,,,,
GiIWtDUqYHIheAKT0zKs4g|Nasty's Sports Bar & Restaurant,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0
NtAcTWEyMPOozUM8sxhuQg|Subway,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
qrWMPHZ3OtpoX8SZJyluYA|Bexley Pizza Plus,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0
q28cKCegPr8Aq8PLLZ3qbw|Roosters,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
m0yomSZ8wpLSQUl8czNBRA|Revelry Tavern,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0
LhoV1oaRXOm84v8rltyJtw|Halwani Cuisine,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
I9QrFoMQp7XC1vac5IWCTg|LongHorn Steakhouse,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0
8hk2km8K-vuqcp_X-lix1A|Levant Elevated Mediterranean Eatery,,,0.0,,0.0,0.0,,,
H7ZshMlsr0o8-QGOSpwg7w|Jimmy John's,1.0,1.0,1.0,0.0,0.0,,,,2.0
n4d5sIvI2x2VK7tkeofdcw|Out-R-Inn,,1.0,1.0,0.0,1.0,,,,
yK8ADDIImbiiO--g7O1BTQ|Rio Fresh Cafe,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0
-RpXYkc-4WDM4iJhgc4e2A|Belmont Deli,0.0,0.0,0.0,0.0,0.0,,,,1.0
CMQjYOVLOupeeMNrNrVQDA|Dairy Queen,1.0,1.0,1.0,0.0,0.0,,,,0.0
NUdDOyLIm7A9jTHicYMn0w|Derive Brewing,,,1.0,0.0,1.0,1.0,,,1.0
9cllQ9xtYdR9shzOGPKsKg|Five Guys,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0
9vwIDXbI4UkpHvgStXAHkA|Culver's,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0
2mR4Jo4IA-71KdAjuBo8zA|Varsity Club Restaurant & Bar,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0
YcL08bi7R4WMjr-7V2kYQg|Sunny Street Cafe,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0
xyLIKm-pXy-zc29weExTZQ|Taco Bell,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
zfEuNOQCRUmBoduSmSRneg|Typhoon Asian Fusion Bistro,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
8yLc33AAXB9-xn7OG4Firw|Taco Bell,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
zL2v_1fQEWZ6cnfu-b9mqA|Dos Hermanos,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GLc6PYpzzdnu8_voyXaSlw|Milano's Italian Restaurant,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,3.0
sz_dYOXW_7q3ztLBZs9ssA|Subway,1.0,1.0,0.0,0.0,0.0,,,,
YLzwJKgTRXpZacW_YTb2Ew|Bob Evans Express,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
bNcRW4M6hARwl0qj-_fXSA|Tim Hortons,0.0,0.0,0.0,0.0,0.0,,,,
